mountain,mountainLabel,height,countryLabel,visitors,rockMaterialLabel
http://www.wikidata.org/entity/Q21843712,Висячий Камень,545.6,Россия,,
http://www.wikidata.org/entity/Q21894938,Q21894938,208,Австралия,,
http://www.wikidata.org/entity/Q21894938,Q21894938,682,Австралия,,
http://www.wikidata.org/entity/Q21938298,Q21938298,451,Австралия,,
http://www.wikidata.org/entity/Q21966680,Q21966680,417,Австралия,,
http://www.wikidata.org/entity/Q21982575,Q21982575,368,Азербайджан,,
http://www.wikidata.org/entity/Q22011745,Q22011745,105,Албания,,
http://www.wikidata.org/entity/Q22024107,Q22024107,300,Бразилия,,
http://www.wikidata.org/entity/Q22361848,Q22361848,617,Канада,,
http://www.wikidata.org/entity/Q23199052,Аблей (гора),524,Россия,,
http://www.wikidata.org/entity/Q23990587,Q23990587,1420,Испания,,
http://www.wikidata.org/entity/Q24189722,Q24189722,2030,Новая Зеландия,,
http://www.wikidata.org/entity/Q25160960,Q25160960,21,Индонезия,,
http://www.wikidata.org/entity/Q26832983,Q26832983,20,Чехия,,
http://www.wikidata.org/entity/Q26871518,Q26871518,100,Иран,,
http://www.wikidata.org/entity/Q26871518,Q26871518,328,Иран,,
http://www.wikidata.org/entity/Q27730603,Q27730603,815,Мавритания,,
http://www.wikidata.org/entity/Q31478136,Q31478136,464,Восточный Тимор,,
http://www.wikidata.org/entity/Q31478155,Q31478155,557,Восточный Тимор,,
http://www.wikidata.org/entity/Q31482718,Q31482718,464,Восточный Тимор,,
http://www.wikidata.org/entity/Q31482759,Q31482759,351,Восточный Тимор,,
http://www.wikidata.org/entity/Q31482996,Q31482996,447,Восточный Тимор,,
http://www.wikidata.org/entity/Q31483016,Q31483016,204,Восточный Тимор,,
http://www.wikidata.org/entity/Q31483100,Q31483100,381,Восточный Тимор,,
http://www.wikidata.org/entity/Q31483325,Q31483325,287,Восточный Тимор,,
http://www.wikidata.org/entity/Q31483430,Q31483430,697,Восточный Тимор,,
http://www.wikidata.org/entity/Q31485340,Q31485340,679,Восточный Тимор,,
http://www.wikidata.org/entity/Q31485462,Q31485462,323,Восточный Тимор,,
http://www.wikidata.org/entity/Q31486950,Q31486950,565,Восточный Тимор,,
http://www.wikidata.org/entity/Q31487234,Q31487234,536,Восточный Тимор,,
http://www.wikidata.org/entity/Q31487273,Q31487273,502,Восточный Тимор,,
http://www.wikidata.org/entity/Q31487809,Q31487809,401,Восточный Тимор,,
http://www.wikidata.org/entity/Q31580572,Гора Карандаш,610.9,Россия,,
http://www.wikidata.org/entity/Q31662487,Гора Искеюрт,608.5,Россия,,
http://www.wikidata.org/entity/Q31662868,Q31662868,2156,Новая Зеландия,,
http://www.wikidata.org/entity/Q31687017,Гора Кукашка,747,Россия,,
http://www.wikidata.org/entity/Q32200654,Q32200654,964,Восточный Тимор,,
http://www.wikidata.org/entity/Q32200746,Q32200746,561,Восточный Тимор,,
http://www.wikidata.org/entity/Q32200760,Q32200760,849,Восточный Тимор,,
http://www.wikidata.org/entity/Q32200839,Q32200839,860,Восточный Тимор,,
http://www.wikidata.org/entity/Q32201499,Q32201499,1141,Восточный Тимор,,
http://www.wikidata.org/entity/Q32201719,Q32201719,1338,Восточный Тимор,,
http://www.wikidata.org/entity/Q32201733,Q32201733,664,Восточный Тимор,,
http://www.wikidata.org/entity/Q32201962,Q32201962,1714,Восточный Тимор,,
http://www.wikidata.org/entity/Q32202233,Q32202233,672,Восточный Тимор,,
http://www.wikidata.org/entity/Q32202624,Q32202624,544,Восточный Тимор,,
http://www.wikidata.org/entity/Q32206289,Q32206289,768,Восточный Тимор,,
http://www.wikidata.org/entity/Q32211865,Q32211865,1406,Восточный Тимор,,
http://www.wikidata.org/entity/Q32222113,Q32222113,764,Восточный Тимор,,
http://www.wikidata.org/entity/Q32222132,Q32222132,1043,Восточный Тимор,,
http://www.wikidata.org/entity/Q32222141,Q32222141,1731,Восточный Тимор,,
http://www.wikidata.org/entity/Q34869346,Q34869346,524,Восточный Тимор,,
http://www.wikidata.org/entity/Q34869397,Q34869397,436,Восточный Тимор,,
http://www.wikidata.org/entity/Q34869553,Q34869553,293,Восточный Тимор,,
http://www.wikidata.org/entity/Q34880639,Q34880639,1101,Восточный Тимор,,
http://www.wikidata.org/entity/Q34883926,Q34883926,1974,Восточный Тимор,,
http://www.wikidata.org/entity/Q34925050,Q34925050,425,Восточный Тимор,,
http://www.wikidata.org/entity/Q48927777,Q48927777,140,Китай,,
http://www.wikidata.org/entity/Q94649540,Q94649540,83,Восточный Тимор,,
http://www.wikidata.org/entity/Q96971734,Пестинград,1009,Черногория,,
http://www.wikidata.org/entity/Q97173722,Q97173722,5853,Чили,,
http://www.wikidata.org/entity/Q97173722,Q97173722,5853,Аргентина,,
http://www.wikidata.org/entity/Q58160092,Q58160092,2018,Танзания,,
http://www.wikidata.org/entity/Q101086127,Баля,791.2,Россия,,
http://www.wikidata.org/entity/Q101090468,Q101090468,791.2,Россия,,
http://www.wikidata.org/entity/Q68069078,Q68069078,0.6,Китай,,
http://www.wikidata.org/entity/Q72300159,Q72300159,183,Испания,,
http://www.wikidata.org/entity/Q86671309,Ишкульский хребет,661,Россия,,
http://www.wikidata.org/entity/Q101803110,Будалашбаш,538.4,Россия,,
http://www.wikidata.org/entity/Q105784114,Верх-Исетский массив,500,Россия,,
http://www.wikidata.org/entity/Q105869493,Висячий камень (Уфа),110,Россия,,
http://www.wikidata.org/entity/Q105943660,Ярыштау,284,Россия,,
http://www.wikidata.org/entity/Q105950730,Ауш тау,648,Россия,,
http://www.wikidata.org/entity/Q110975324,"Митридат (гора, Феодосия)",55,Россия,,
http://www.wikidata.org/entity/Q110975324,"Митридат (гора, Феодосия)",55,Украина,,
http://www.wikidata.org/entity/Q115506549,Q115506549,1.2,Испания,,
http://www.wikidata.org/entity/Q116381652,Гора Альян,361,Россия,,
http://www.wikidata.org/entity/Q116477203,Q116477203,1381,Восточный Тимор,,
http://www.wikidata.org/entity/Q116951862,Q116951862,415,Восточный Тимор,,
http://www.wikidata.org/entity/Q136332552,Q136332552,783,Испания,,
http://www.wikidata.org/entity/Q136550347,Q136550347,110,Восточный Тимор,,
http://www.wikidata.org/entity/Q136566130,Q136566130,280,Греция,,
http://www.wikidata.org/entity/Q136566640,Q136566640,1535,Италия,,
http://www.wikidata.org/entity/Q136610050,Q136610050,1007,Греция,,
http://www.wikidata.org/entity/Q136892549,Q136892549,2350,Иран,,
http://www.wikidata.org/entity/Q137392222,Q137392222,10,Испания,,
http://www.wikidata.org/entity/Q137592932,Q137592932,1433,Лаос,,
http://www.wikidata.org/entity/Q131674959,Q131674959,87,Испания,,
http://www.wikidata.org/entity/Q131677559,Q131677559,407,Испания,,
