mountain,mountainLabel,coordinates,elevation,rockMaterialLabel
http://www.wikidata.org/entity/Q215138,Фицрой,Point(-73.043333333 -49.271388888),3406,гранит
http://www.wikidata.org/entity/Q215471,Хермон,Point(35.85 33.4),2813.95,известняк
http://www.wikidata.org/entity/Q215662,Монте-Пердидо,Point(0.033333333 42.673888888),3355,известняк
http://www.wikidata.org/entity/Q217274,Эльдфетль,Point(-20.248769288 63.433300863),205,базальт
http://www.wikidata.org/entity/Q217274,Эльдфетль,Point(-20.248769288 63.433300863),279,базальт
http://www.wikidata.org/entity/Q229624,Зума (скала),Point(7.233946111 9.130416111),700,гранит
http://www.wikidata.org/entity/Q48877,Шивелуч,Point(161.362966666 56.653633333),3283,андезит
http://www.wikidata.org/entity/Q56693,Cavehill,Point(-5.951 54.647),370,базальт
http://www.wikidata.org/entity/Q59805,Маунт-Леммон,Point(-110.788430555 32.443130555),9171,гранит
http://www.wikidata.org/entity/Q60967,Кинабалу,Point(116.558611111 6.075),4095,Гранодиорит
http://www.wikidata.org/entity/Q76309,Монтань-Пеле,Point(-61.165555555 14.813055555),1397,андезит
http://www.wikidata.org/entity/Q76309,Монтань-Пеле,Point(-61.165555555 14.813055555),1397,Дацит
http://www.wikidata.org/entity/Q76309,Монтань-Пеле,Point(-61.165555555 14.813055555),1397,basaltic andesite
http://www.wikidata.org/entity/Q81213,Герлаховский Штит,Point(20.133888888 49.164166666),2654.4,гранит
http://www.wikidata.org/entity/Q81213,Герлаховский Штит,Point(20.133888888 49.164166666),2655,гранит
http://www.wikidata.org/entity/Q82019,Канченджанга,Point(88.133333 27.7),8586,известняк
http://www.wikidata.org/entity/Q83497,Гора Рашмор,Point(-103.459166666 43.878888888),1745,гранит
http://www.wikidata.org/entity/Q85166,Cornettes de Bise,Point(6.784444444 46.3325),2432,осадочная горная порода
http://www.wikidata.org/entity/Q104674,Бен-Невис,Point(-5.003675 56.796891),1344.527,магматические горные породы
http://www.wikidata.org/entity/Q116675,Тенакуру,Point(-5.416666666 10.75),749,песчаник
