mountain,mountainLabel,area,countryLabel,rockMaterialLabel
http://www.wikidata.org/entity/Q1984309,Lake Ngozi,4.6,Танзания,
http://www.wikidata.org/entity/Q2012856,Oblík,23.2964,Чехия,
http://www.wikidata.org/entity/Q2052806,Basaltkegel Parkstein,21000,Германия,
http://www.wikidata.org/entity/Q2094533,Инишвикиллан,0.69,Ирландия,
http://www.wikidata.org/entity/Q2133602,Rauðhólar,130.16367,Исландия,
http://www.wikidata.org/entity/Q3297684,Q3297684,20,Франция,
http://www.wikidata.org/entity/Q3307550,Andia mountain range,113.99,Испания,
http://www.wikidata.org/entity/Q3321847,Mont Gela,149.53,Франция,
http://www.wikidata.org/entity/Q3321891,Mount Jinyun,76,Китай,
http://www.wikidata.org/entity/Q3321893,Mount Jinfo,6744,Китай,
http://www.wikidata.org/entity/Q3321893,Mount Jinfo,10675,Китай,
http://www.wikidata.org/entity/Q3321969,Mont Myon,297.17,Франция,осадочная горная порода
http://www.wikidata.org/entity/Q3322194,Wunü Mountain,276,Китай,
http://www.wikidata.org/entity/Q3322194,Wunü Mountain,5600,Китай,
http://www.wikidata.org/entity/Q3322297,Q3322297,396.05,Франция,известняк
http://www.wikidata.org/entity/Q3322302,Q3322302,63.96,Франция,
http://www.wikidata.org/entity/Q3322520,Монти-Бразил,0.4833,Португалия,
http://www.wikidata.org/entity/Q3322520,Монти-Бразил,48.33,Португалия,
http://www.wikidata.org/entity/Q3322520,Монти-Бразил,48330,Португалия,
http://www.wikidata.org/entity/Q3323126,Mounts Yuntai,180,Китай,
http://www.wikidata.org/entity/Q3323706,Oak Ridges Moraine,1900,Канада,
http://www.wikidata.org/entity/Q3347324,Q3347324,442.72,Колумбия,
http://www.wikidata.org/entity/Q3393503,Perdiguera Island,25.8,Испания,
http://www.wikidata.org/entity/Q3394352,Пайкон,400,Греция,
http://www.wikidata.org/entity/Q3394559,Сьерво,0.18,Испания,
http://www.wikidata.org/entity/Q3395453,Poludnica,329.462,Словакия,
http://www.wikidata.org/entity/Q3407018,Q3407018,40,Северная Македония,
http://www.wikidata.org/entity/Q1720980,Kadovar,1,Папуа — Новая Гвинея,
http://www.wikidata.org/entity/Q1728234,Kanzel,320,Германия,
http://www.wikidata.org/entity/Q1733933,Karlshöhe,0.519,Германия,
